Architecture,MemorySizeMb,MinutesSinceLastCall,EndToEndRequestDurationMs,IsColdStart,RequestFailed
x64,128,3.6754455533333332,106.1566,False,False
x64,256,3.675970595,140.5729,False,False
x64,512,3.677098808333333,64.3392,False,False
x64,1024,3.6773680233333335,60.9405,False,False
x64,2048,3.677319925,59.1002,False,False
x64,3008,3.6773659283333333,66.9207,False,False
arm64,128,3.677718655,195.6282,False,False
arm64,256,3.6799016883333335,54.7731,False,False
arm64,512,3.6795944483333334,52.0561,False,False
arm64,1024,3.6792486533333335,60.9847,False,False
arm64,2048,3.6793318216666666,56.7589,False,False
arm64,3008,3.6792586266666665,54.3837,False,False
x64,128,4.6755151,117.8784,False,False
x64,256,4.675847341666667,75.2075,False,False
x64,512,4.674858575,66.1463,False,False
x64,1024,4.675031078333333,53.7172,False,False
x64,2048,4.674880063333333,53.069,False,False
x64,3008,4.674701925,48.3582,False,False
arm64,128,4.67416774,80.0048,False,False
arm64,256,4.672424986666667,55.5599,False,False
arm64,512,4.672255131666667,55.2848,False,False
arm64,1024,4.6723269966666665,54.9043,False,False
arm64,2048,4.672315648333333,53.4498,False,False
arm64,3008,4.672055485,51.7479,False,False
x64,128,5.691239786666666,106.9839,False,False
x64,256,5.690996345,59.0212,False,False
x64,512,5.690628891666667,64.2918,False,False
x64,1024,5.6904607,57.6202,False,False
x64,2048,5.690581013333333,64.56,False,False
x64,3008,5.690797606666667,63.1229,False,False
arm64,128,5.691134888333333,1747.1379,True,False
arm64,256,5.71893372,1038.7533,True,False
arm64,512,5.735450718333333,60.1864,False,False
arm64,1024,5.735431593333334,52.2976,False,False
arm64,2048,5.735457463333334,476.8635,True,False
arm64,3008,5.742696161666666,434.0701,True,False
x64,128,6.761016723333333,1541.2808,True,False
x64,256,6.78492005,948.6723,True,False
x64,512,6.799796313333333,682.2902,True,False
x64,1024,6.810259805,476.027,True,False
x64,2048,6.81720819,417.9961,True,False
x64,3008,6.823255025,411.8348,True,False
arm64,128,6.82895674,1597.8512,True,False
arm64,256,6.826495756666667,1004.0554,True,False
arm64,512,6.825995085,687.6353,True,False
arm64,1024,6.836510338333333,512.7481,True,False
arm64,2048,6.844006116666667,463.2933,True,False
arm64,3008,6.84373152,440.3817,True,False
x64,128,7.845787873333333,1557.0117,True,False
x64,256,7.8461270716666665,889.3881,True,False
x64,512,7.844988185,689.238,True,False
x64,1024,7.845117938333333,464.172,True,False
x64,2048,7.845066931666667,461.2586,True,False
x64,3008,7.84568434,431.1519,True,False
arm64,128,7.846027431666666,1546.7403,True,False
arm64,256,7.844981383333334,968.363,True,False
arm64,512,7.844181973333333,642.0497,True,False
arm64,1024,7.843310458333334,531.6089,True,False
arm64,2048,7.8437803116666664,477.6324,True,False
arm64,3008,7.84408114,426.9239,True,False
x64,128,8.95481768,1580.6595,True,False
x64,256,8.955067428333333,894.1285,True,False
x64,512,8.95524731,722.3578,True,False
x64,1024,8.955631293333333,499.4625,True,False
x64,2048,8.956028845,479.7089,True,False
x64,3008,8.956319258333334,435.8683,True,False
arm64,128,8.956528283333334,1649.9589,True,False
